Classificador,Média,RMS,Maximo,Mínimo,Desvio Padrão,Variância
1,2.61E-05,0.001940927,0.015625,-0.012908936,0.00194079,3.77E-06
5,2.44E-05,0.003474038,0.017883301,-0.017700195,0.003474022,1.21E-05
1,2.45E-05,0.001996122,0.015228271,-0.013458252,0.001996012,3.98E-06
5,1.67E-05,0.002908763,0.014923096,-0.015960693,0.002908773,8.46E-06
1,2.57E-05,0.001957831,0.014556885,-0.01071167,0.001957702,3.83E-06
5,2.44E-05,0.003461609,0.017211914,-0.019500732,0.003461592,1.20E-05
1,2.55E-05,0.001956273,0.013824463,-0.010894775,0.001956147,3.83E-06
5,2.40E-05,0.003245871,0.014923096,-0.018157959,0.003245847,1.05E-05
1,0.000025,0.001995481,0.012969971,-0.012420654,0.001995364,3.98E-06
5,2.35E-05,0.003438886,0.014678955,-0.016265869,0.003438874,1.18E-05
1,2.59E-05,0.001932886,0.01361084,-0.010559082,0.001932752,3.74E-06
5,2.40E-05,0.003555227,0.018615723,-0.016876221,0.003555217,1.26E-05
1,2.63E-05,0.001968061,0.015441895,-0.010803223,0.001967925,3.87E-06
5,2.44E-05,0.003633543,0.014801025,-0.01385498,0.003633534,1.32E-05
1,2.38E-05,0.001954555,0.014129639,-0.011199951,0.001954449,3.82E-06
5,2.45E-05,0.003607794,0.02166748,-0.017852783,0.003607783,1.30E-05
1,2.64E-05,0.001931152,0.012359619,-0.013031006,0.001931011,3.73E-06
5,2.33E-05,0.003537582,0.014862061,-0.013702393,0.003537576,1.25E-05
1,2.59E-05,0.001890265,0.015136719,-0.011535645,0.001890126,3.57E-06
5,2.39E-05,0.003291188,0.015899658,-0.014709473,0.003291167,1.08E-05
1,2.57E-05,0.001917981,0.01651001,-0.01071167,0.001917847,3.68E-06
5,2.70E-05,0.003256748,0.017608643,-0.018981934,0.003256701,1.06E-05
1,2.51E-05,0.001958041,0.013580322,-0.012115479,0.001957919,3.83E-06
5,2.20E-05,0.003336736,0.015808105,-0.015411377,0.00333673,1.11E-05
1,2.45E-05,0.001980407,0.013061523,-0.013092041,0.001980295,3.92E-06
5,2.31E-05,0.00346851,0.015991211,-0.018249512,0.003468502,1.20E-05
1,2.52E-05,0.001987275,0.012451172,-0.010894775,0.001987156,3.95E-06
5,2.37E-05,0.003443847,0.016662598,-0.015563965,0.003443834,1.19E-05
1,2.43E-05,0.00193993,0.015533447,-0.009643555,0.001939817,3.76E-06
5,2.42E-05,0.003162699,0.014434814,-0.013061523,0.00316267,1.00E-05
1,2.73E-05,0.001893743,0.015106201,-0.010803223,0.001893585,3.59E-06
5,2.35E-05,0.003149518,0.014587402,-0.012542725,0.003149493,9.92E-06
1,2.47E-05,0.001936314,0.012664795,-0.010131836,0.001936195,3.75E-06
5,2.51E-05,0.003226056,0.015258789,-0.013702393,0.003226024,1.04E-05
1,2.56E-05,0.001920988,0.013122559,-0.012359619,0.001920855,3.69E-06
5,2.49E-05,0.003344857,0.017059326,-0.015197754,0.003344832,1.12E-05
1,2.56E-05,0.001907367,0.01361084,-0.010681152,0.001907233,3.64E-06
5,2.39E-05,0.003229569,0.013916016,-0.016479492,0.003229545,1.04E-05
1,2.46E-05,0.001880399,0.013763428,-0.012939453,0.001880276,3.54E-06
5,2.49E-05,0.003454534,0.01550293,-0.015319824,0.003454513,1.19E-05
1,2.52E-05,0.0019116,0.012573242,-0.012237549,0.001911473,3.65E-06
5,2.32E-05,0.003285305,0.016113281,-0.016693115,0.003285289,1.08E-05
1,2.67E-05,0.001954547,0.014709473,-0.01159668,0.001954404,3.82E-06
5,2.48E-05,0.003252879,0.014892578,-0.015045166,0.00325285,1.06E-05
1,2.52E-05,0.001914407,0.01461792,-0.011413574,0.001914279,3.66E-06
5,2.34E-05,0.003238147,0.015960693,-0.016357422,0.003238127,1.05E-05
1,1.89E-05,0.00172341,0.012573242,-0.011505127,0.001723342,2.97E-06
5,2.44E-05,0.003182124,0.019134521,-0.018707275,0.003182094,1.01E-05
1,2.39E-05,0.0018639,0.015228271,-0.010223389,0.001863784,3.47E-06
5,2.51E-05,0.003263365,0.014434814,-0.014434814,0.003263334,1.06E-05
1,2.53E-05,0.001950341,0.01385498,-0.009368897,0.001950216,3.80E-06
5,2.25E-05,0.003531104,0.01550293,-0.017883301,0.003531103,1.25E-05
1,2.46E-05,0.001914309,0.015686035,-0.011138916,0.001914189,3.66E-06
5,2.24E-05,0.003482753,0.017730713,-0.01449585,0.003482751,1.21E-05
1,2.61E-05,0.001906802,0.013519287,-0.009552002,0.001906661,3.64E-06
5,2.35E-05,0.003387288,0.01751709,-0.015899658,0.003387274,1.15E-05
1,2.34E-05,0.001906273,0.011749268,-0.010498047,0.001906168,3.63E-06
5,2.51E-05,0.003363765,0.015106201,-0.017364502,0.003363739,1.13E-05
1,2.60E-05,0.001898994,0.015625,-0.010650635,0.001898853,3.61E-06
5,2.35E-05,0.003598156,0.020782471,-0.017456055,0.003598152,1.29E-05
1,2.50E-05,0.00191466,0.015289307,-0.010467529,0.001914535,3.67E-06
5,2.50E-05,0.003497899,0.01751709,-0.019012451,0.00349788,1.22E-05
1,2.62E-05,0.001898845,0.01473999,-0.011871338,0.001898702,3.61E-06
5,2.29E-05,0.003188418,0.014160156,-0.015686035,0.003188399,1.02E-05
1,2.49E-05,0.00189127,0.01260376,-0.011108398,0.001891144,3.58E-06
5,3.00E-05,0.010648305,0.043548584,-0.045928955,0.010648476,0.00011339
1,2.50E-05,0.001862537,0.01373291,-0.011199951,0.001862407,3.47E-06
5,2.14E-05,0.010671018,0.039306641,-0.039123535,0.01067121,0.000113875
1,2.61E-05,0.001878936,0.012939453,-0.011260986,0.001878792,3.53E-06
5,2.30E-05,0.011172351,0.043212891,-0.039520264,0.011172551,0.000124826
1,2.54E-05,0.001911389,0.01385498,-0.010528564,0.001911259,3.65E-06
5,3.05E-05,0.010633027,0.039520264,-0.046295166,0.010633196,0.000113065
1,2.56E-05,0.001874047,0.014526367,-0.00982666,0.001873909,3.51E-06
5,1.47E-05,0.010718167,0.040924072,-0.040863037,0.010718371,0.000114883
1,2.56E-05,0.001877682,0.01272583,-0.010772705,0.001877546,3.53E-06
5,2.80E-05,0.012457858,0.046691895,-0.049804688,0.012458075,0.000155204
1,2.48E-05,0.001841569,0.013061523,-0.012329102,0.001841439,3.39E-06
5,2.60E-05,0.011588038,0.050079346,-0.046691895,0.011588241,0.000134287
1,2.54E-05,0.001886948,0.015258789,-0.012329102,0.001886815,3.56E-06
5,2.73E-05,0.010839525,0.050170898,-0.038116455,0.010839707,0.000117499
1,2.56E-05,0.001853271,0.015960693,-0.013580322,0.001853131,3.43E-06
5,1.45E-05,0.01171636,0.044158936,-0.047088623,0.011716586,0.000137278
1,2.61E-05,0.00186177,0.014282227,-0.011535645,0.001861623,3.47E-06
5,1.84E-05,0.012780562,0.053497314,-0.04864502,0.012780805,0.000163349
1,2.57E-05,0.001913409,0.014648438,-0.010681152,0.001913274,3.66E-06
5,3.60E-05,0.011619773,0.039978027,-0.04006958,0.011619949,0.000135023
1,2.47E-05,0.001841178,0.014923096,-0.009735107,0.001841049,3.39E-06
5,2.09E-05,0.010752486,0.048339844,-0.040863037,0.010752681,0.00011562
1,2.68E-05,0.00190625,0.014770508,-0.012115479,0.0019061,3.63E-06
5,2.37E-05,0.011586926,0.046142578,-0.044403076,0.011587133,0.000134262
1,2.52E-05,0.001955074,0.014099121,-0.010467529,0.00195495,3.82E-06
5,2.71E-05,0.01103172,0.049041748,-0.042297363,0.011031908,0.000121703
1,2.49E-05,0.001849966,0.014556885,-0.011260986,0.001849835,3.42E-06
5,2.42E-05,0.011225901,0.042663574,-0.03918457,0.011226099,0.000126025
1,2.61E-05,0.001852387,0.013793945,-0.01071167,0.001852239,3.43E-06
5,2.41E-05,0.011218484,0.046325684,-0.047546387,0.011218682,0.000125859
1,2.50E-05,0.001866218,0.01373291,-0.012634277,0.001866089,3.48E-06
5,1.54E-05,0.01254921,0.046783447,-0.059356689,0.012549451,0.000157489
1,2.50E-05,0.001874936,0.014465332,-0.0105896,0.001874806,3.51E-06
5,3.07E-05,0.011414716,0.039520264,-0.043731689,0.011414903,0.0001303
1,2.61E-05,0.001890484,0.014007568,-0.013000488,0.001890342,3.57E-06
5,1.71E-05,0.011597722,0.048248291,-0.037902832,0.011597941,0.000134512
1,2.61E-05,0.001904862,0.013916016,-0.012084961,0.001904721,3.63E-06
5,2.47E-05,0.011160486,0.044464111,-0.044921875,0.011160682,0.000124561
1,2.47E-05,0.001906869,0.012298584,-0.011505127,0.001906746,3.64E-06
5,1.91E-05,0.012161951,0.046508789,-0.042358398,0.01216218,0.000147919
1,2.52E-05,0.001853441,0.012298584,-0.009979248,0.001853306,3.43E-06
5,2.98E-05,0.012767428,0.046905518,-0.048248291,0.012767648,0.000163013
1,2.59E-05,0.001868974,0.014984131,-0.010314941,0.001868832,3.49E-06
5,3.40E-05,0.012664214,0.045349121,-0.044219971,0.012664422,0.000160388
1,2.49E-05,0.001891002,0.014465332,-0.010681152,0.001890876,3.58E-06
5,2.45E-05,0.013531657,0.050079346,-0.057189941,0.013531906,0.000183112
1,2.68E-05,0.001859337,0.013031006,-0.010192871,0.00185918,3.46E-06
5,1.36E-05,0.013257822,0.046234131,-0.049865723,0.013258081,0.000175777
1,2.54E-05,0.001834173,0.013183594,-0.010681152,0.001834033,3.36E-06
5,2.63E-05,0.012841164,0.051879883,-0.054138184,0.012841394,0.000164901
1,2.46E-05,0.001902213,0.013916016,-0.012054443,0.001902092,3.62E-06
5,3.04E-05,0.013585884,0.0574646,-0.049713135,0.013586122,0.000184583
1,2.60E-05,0.00184784,0.013122559,-0.010620117,0.001847693,3.41E-06
5,2.30E-05,0.012531313,0.053344727,-0.044342041,0.012531542,0.00015704
1,0.000026875,0.001863668,0.015167236,-0.009063721,0.001863512,3.47E-06
5,2.53E-05,0.012940572,0.046264648,-0.052032471,0.012940806,0.000167464
1,2.69E-05,0.001871912,0.011383057,-0.010559082,0.001871757,3.50E-06
5,1.74E-05,0.012101878,0.048309326,-0.049743652,0.012102108,0.000146461
1,2.55E-05,0.00183693,0.013153076,-0.010406494,0.00183679,3.37E-06
5,2.53E-05,0.012558163,0.045715332,-0.054229736,0.012558389,0.000157713
1,2.62E-05,0.001867767,0.014221191,-0.0105896,0.00186762,3.49E-06
5,2.15E-05,0.013455572,0.069793701,-0.050323486,0.013455824,0.000181059
1,2.64E-05,0.001881322,0.01651001,-0.010681152,0.001881175,3.54E-06
5,2.40E-05,0.012813293,0.05178833,-0.047668457,0.012813527,0.000164186
1,2.48E-05,0.00189902,0.014282227,-0.010162354,0.001898896,3.61E-06
5,2.59E-05,0.012308057,0.043792725,-0.043945313,0.012308276,0.000151494
1,2.44E-05,0.001952122,0.011077881,-0.010467529,0.001952008,3.81E-06
5,1.69E-05,0.012016514,0.052001953,-0.046722412,0.012016743,0.000144402
1,2.56E-05,0.001956635,0.012176514,-0.011535645,0.001956507,3.83E-06
5,3.56E-05,0.011607128,0.044952393,-0.0546875,0.011607306,0.00013473
1,2.58E-05,0.001883696,0.013244629,-0.010375977,0.001883557,3.55E-06
5,1.27E-05,0.011818471,0.046508789,-0.045623779,0.011818701,0.000139682
1,2.62E-05,0.001854934,0.013946533,-0.010406494,0.001854787,3.44E-06
5,2.40E-05,0.012052089,0.056518555,-0.045959473,0.012052307,0.000145258
1,2.51E-05,0.001850331,0.012878418,-0.009796143,0.001850198,3.42E-06
5,2.32E-05,0.013750996,0.054992676,-0.046356201,0.013751252,0.000189097
1,2.58E-05,0.001886778,0.011871338,-0.012359619,0.001886639,3.56E-06
5,3.06E-05,0.01238056,0.049407959,-0.05480957,0.012380769,0.000153283
1,2.55E-05,0.001832076,0.012756348,-0.009155273,0.001831934,3.36E-06
5,1.78E-05,0.011630635,0.046417236,-0.04699707,0.011630854,0.000135277
1,2.57E-05,0.001925943,0.013122559,-0.011260986,0.00192581,3.71E-06
5,2.41E-05,0.01257252,0.046447754,-0.052032471,0.012572748,0.000158074
1,2.55E-05,0.001925081,0.012786865,-0.011688232,0.001924951,3.71E-06
5,2.52E-05,0.011438726,0.047058105,-0.051452637,0.011438927,0.000130849
1,2.49E-05,0.001914815,0.013031006,-0.009399414,0.001914691,3.67E-06
5,3.14E-05,0.0122554,0.042785645,-0.050354004,0.012255605,0.0001502
1,2.58E-05,0.001891445,0.013092041,-0.01184082,0.001891306,3.58E-06
5,1.32E-05,0.012933433,0.047485352,-0.046508789,0.012933685,0.00016728
1,2.64E-05,0.001947924,0.01461792,-0.010498047,0.001947783,3.79E-06
5,3.52E-05,0.011471648,0.045776367,-0.052062988,0.011471823,0.000131603
1,2.48E-05,0.0019617,0.012969971,-0.009796143,0.001961582,3.85E-06
5,1.82E-05,0.011685368,0.046844482,-0.046112061,0.011685587,0.000136553
1,2.67E-05,0.001935267,0.014190674,-0.009796143,0.001935121,3.74E-06
5,2.54E-05,0.012176751,0.044586182,-0.056304932,0.012176968,0.000148279
1,2.46E-05,0.00188166,0.013824463,-0.010894775,0.001881536,3.54E-06
5,2.88E-05,0.011238137,0.041748047,-0.043121338,0.011238325,0.0001263
1,2.66E-05,0.001899987,0.013793945,-0.010345459,0.001899838,3.61E-06
5,0.0000125,0.013490216,0.058898926,-0.055328369,0.01349048,0.000181993
1,2.46E-05,0.001987029,0.01361084,-0.010986328,0.001986917,3.95E-06
5,2.43E-05,0.013346654,0.069274902,-0.047454834,0.013346898,0.00017814
