 Item ; Média ; RMS ; Maximo ; Mínimo ; Desvio Padrão ; Variância ;;;;;;;;
 Isolador Bom ; 0,0000254626 ; 0,0019621557 ; 0,0169067380 ;-0,0114746090 ; 0,0019620297 ; 0,0000038496 ;;;;;;;;
 Isolador Bom ; 0,0000248389 ; 0,0019630718 ; 0,0135498050 ;-0,0112304690 ; 0,0019629540 ; 0,0000038532 ;;;;;;;;
 Isolador Bom ; 0,0000260132 ; 0,0019110418 ; 0,0137023930 ;-0,0107727050 ; 0,0019109030 ; 0,0000036516 ;;;;;;;;
 Isolador Bom ; 0,0000251587 ; 0,0019483278 ; 0,0142211910 ;-0,0104675290 ; 0,0019482043 ; 0,0000037955 ;;;;;;;;
 Isolador Bom ; 0,0000247815 ; 0,0020029194 ; 0,0141296390 ;-0,0109863280 ; 0,0020028061 ; 0,0000040112 ;;;;;;;;
 Isolador Bom ; 0,0000258472 ; 0,0019949076 ; 0,0137939450 ;-0,0109252930 ; 0,0019947800 ; 0,0000039791 ;;;;;;;;
 Isolador Bom ; 0,0000240076 ; 0,0019689189 ; 0,0149536130 ;-0,0129699710 ; 0,0019688119 ; 0,0000038762 ;;;;;;;;
 Isolador Bom ; 0,0000258289 ; 0,0019750933 ; 0,0133056640 ;-0,0107727050 ; 0,0019749639 ; 0,0000039005 ;;;;;;;;
 Isolador Bom ; 0,0000255774 ; 0,0019246296 ; 0,0135498050 ;-0,0104064940 ; 0,0019244982 ; 0,0000037037 ;;;;;;;;
 Isolador Bom ; 0,0000261414 ; 0,0019290326 ; 0,0122375490 ;-0,0116271970 ; 0,0019288940 ; 0,0000037206 ;;;;;;;;
 Isolador Bom ; 0,0000249475 ; 0,0019334393 ; 0,0141296390 ;-0,0117187500 ; 0,0019333170 ; 0,0000037377 ;;;;;;;;
 Isolador Bom ; 0,0000258521 ; 0,0019322638 ; 0,0143737790 ;-0,0117187500 ; 0,0019321295 ; 0,0000037331 ;;;;;;;;
 Isolador Bom ; 0,0000260864 ; 0,0019409267 ; 0,0156250000 ;-0,0129089360 ; 0,0019407902 ; 0,0000037667 ;;;;;;;;
 Isolador Bom ; 0,0000244800 ; 0,0019961224 ; 0,0152282710 ;-0,0134582520 ; 0,0019960122 ; 0,0000039841 ;;;;;;;;
 Isolador Bom ; 0,0000256726 ; 0,0019578313 ; 0,0145568850 ;-0,0107116700 ; 0,0019577021 ; 0,0000038326 ;;;;;;;;
 Isolador Bom ; 0,0000254822 ; 0,0019562734 ; 0,0138244630 ;-0,0108947750 ; 0,0019561466 ; 0,0000038265 ;;;;;;;;
 Isolador Bom ; 0,0000250000 ; 0,0019954807 ; 0,0129699710 ;-0,0124206540 ; 0,0019953640 ; 0,0000039815 ;;;;;;;;
 Isolador Bom ; 0,0000258508 ; 0,0019328861 ; 0,0136108400 ;-0,0105590820 ; 0,0019327519 ; 0,0000037355 ;;;;;;;;
 Isolador Bom ; 0,0000262573 ; 0,0019680607 ; 0,0154418950 ;-0,0108032230 ; 0,0019679249 ; 0,0000038727 ;;;;;;;;
 Isolador Bom ; 0,0000238062 ; 0,0019545549 ; 0,0141296390 ;-0,0111999510 ; 0,0019544490 ; 0,0000038199 ;;;;;;;;
 Isolador Bom ; 0,0000264038 ; 0,0019311524 ; 0,0123596190 ;-0,0130310060 ; 0,0019310105 ; 0,0000037288 ;;;;;;;;
 Isolador Bom ; 0,0000258691 ; 0,0018902649 ; 0,0151367190 ;-0,0115356450 ; 0,0018901256 ; 0,0000035726 ;;;;;;;;
 Isolador Bom ; 0,0000257459 ; 0,0019179809 ; 0,0165100100 ;-0,0107116700 ; 0,0019178465 ; 0,0000036781 ;;;;;;;;
 Isolador Bom ; 0,0000250537 ; 0,0019580405 ; 0,0135803220 ;-0,0121154790 ; 0,0019579194 ; 0,0000038334 ;;;;;;;;
 Isolador Bom ; 0,0000244897 ; 0,0019804071 ; 0,0130615230 ;-0,0130920410 ; 0,0019802953 ; 0,0000039216 ;;;;;;;;
 Isolador Bom ; 0,0000251514 ; 0,0019872751 ; 0,0124511720 ;-0,0108947750 ; 0,0019871557 ; 0,0000039488 ;;;;;;;;
 Isolador Bom ; 0,0000242883 ; 0,0019399299 ; 0,0155334470 ;-0,0096435547 ; 0,0019398167 ; 0,0000037629 ;;;;;;;;
 Isolador Bom ; 0,0000272778 ; 0,0018937432 ; 0,0151062010 ;-0,0108032230 ; 0,0018935846 ; 0,0000035857 ;;;;;;;;
 Isolador Bom ; 0,0000246851 ; 0,0019363135 ; 0,0126647950 ;-0,0101318360 ; 0,0019361949 ; 0,0000037489 ;;;;;;;;
 Isolador Bom ; 0,0000256238 ; 0,0019209877 ; 0,0131225590 ;-0,0123596190 ; 0,0019208553 ; 0,0000036897 ;;;;;;;;
 Isolador Bom ; 0,0000255762 ; 0,0019073666 ; 0,0136108400 ;-0,0106811520 ; 0,0019072333 ; 0,0000036375 ;;;;;;;;
 Isolador Bom ; 0,0000245837 ; 0,0018803993 ; 0,0137634280 ;-0,0129394530 ; 0,0018802762 ; 0,0000035354 ;;;;;;;;
 Isolador Bom ; 0,0000251831 ; 0,0019116002 ; 0,0125732420 ;-0,0122375490 ; 0,0019114725 ; 0,0000036537 ;;;;;;;;
 Isolador Bom ; 0,0000266663 ; 0,0019545467 ; 0,0147094730 ;-0,0115966800 ; 0,0019544038 ; 0,0000038197 ;;;;;;;;
