Classificador,Media,RMS,Maximo,Minimo,DesvioPadrao,Variancia
1,2.68323E-05,0.001859337,0.013031006,-0.010192871,0.00185918,3.45655E-06
1,2.53943E-05,0.001834173,0.013183594,-0.010681152,0.001834033,3.36368E-06
1,2.45972E-05,0.001902213,0.013916016,-0.012054443,0.001902092,3.61795E-06
1,2.60132E-05,0.00184784,0.013122559,-0.010620117,0.001847693,3.41397E-06
1,0.000026875,0.001863668,0.015167236,-0.009063721,0.001863512,3.47268E-06
1,2.68591E-05,0.001871912,0.011383057,-0.010559082,0.001871757,3.50347E-06
1,2.55481E-05,0.00183693,0.013153076,-0.010406494,0.00183679,3.3738E-06
1,2.6228E-05,0.001867767,0.014221191,-0.0105896,0.00186762,3.488E-06
1,2.64063E-05,0.001881322,0.01651001,-0.010681152,0.001881175,3.53882E-06
1,2.47717E-05,0.00189902,0.014282227,-0.010162354,0.001898896,3.60581E-06
1,2.44226E-05,0.001952122,0.011077881,-0.010467529,0.001952008,3.81033E-06
1,2.56311E-05,0.001956635,0.012176514,-0.011535645,0.001956507,3.82792E-06
1,2.58215E-05,0.001883696,0.013244629,-0.010375977,0.001883557,3.54779E-06
1,2.61609E-05,0.001854934,0.013946533,-0.010406494,0.001854787,3.44023E-06
1,2.50867E-05,0.001850331,0.012878418,-0.009796143,0.001850198,3.42323E-06
1,2.57776E-05,0.001886778,0.011871338,-0.012359619,0.001886639,3.55941E-06
1,2.55493E-05,0.001832076,0.012756348,-0.009155273,0.001831934,3.35598E-06
1,2.56689E-05,0.001925943,0.013122559,-0.011260986,0.00192581,3.70874E-06
1,2.54663E-05,0.001925081,0.012786865,-0.011688232,0.001924951,3.70544E-06
1,2.49158E-05,0.001914815,0.013031006,-0.009399414,0.001914691,3.66604E-06
1,2.58374E-05,0.001891445,0.013092041,-0.01184082,0.001891306,3.57704E-06
1,2.64063E-05,0.001947924,0.01461792,-0.010498047,0.001947783,3.79386E-06
1,2.48206E-05,0.0019617,0.012969971,-0.009796143,0.001961582,3.8478E-06
1,2.67078E-05,0.001935267,0.014190674,-0.009796143,0.001935121,3.74469E-06
1,2.46216E-05,0.00188166,0.013824463,-0.010894775,0.001881536,3.54018E-06
1,2.66394E-05,0.001899987,0.013793945,-0.010345459,0.001899838,3.60938E-06
1,2.45593E-05,0.001987029,0.01361084,-0.010986328,0.001986917,3.94784E-06
1,2.53552E-05,0.001873956,0.012817383,-0.010498047,0.001873822,3.51121E-06
1,2.61169E-05,0.001914966,0.015167236,-0.011108398,0.001914827,3.66656E-06
1,2.57507E-05,0.001911201,0.015258789,-0.011932373,0.001911066,3.65217E-06
1,2.45752E-05,0.001854257,0.014343262,-0.010955811,0.001854131,3.4378E-06
1,2.60181E-05,0.001901485,0.017791748,-0.013671875,0.001901345,3.61511E-06
1,2.547E-05,0.001896037,0.016723633,-0.010528564,0.001895904,3.59445E-06
1,2.58887E-05,0.001927906,0.011230469,-0.013366699,0.001927771,3.7163E-06
1,2.48889E-05,0.001992217,0.013763428,-0.010620117,0.001992102,3.96847E-06
1,2.526E-05,0.0019363,0.012145996,-0.010864258,0.001936174,3.74877E-06
1,2.57776E-05,0.001973077,0.014862061,-0.011108398,0.001972948,3.89252E-06
1,2.53931E-05,0.001933264,0.011688232,-0.011413574,0.001933136,3.73701E-06
1,2.44067E-05,0.001962462,0.014953613,-0.010894775,0.001962349,3.85081E-06
1,2.64001E-05,0.001912225,0.013366699,-0.011932373,0.001912081,3.65605E-06
1,2.40442E-05,0.001977843,0.015594482,-0.011688232,0.001977737,3.91144E-06
1,2.54578E-05,0.001896001,0.012817383,-0.010742188,0.001895868,3.59431E-06
1,2.58142E-05,0.001868181,0.014862061,-0.010681152,0.00186804,3.48958E-06
1,2.67175E-05,0.001876533,0.015808105,-0.010467529,0.00187638,3.5208E-06
1,2.62378E-05,0.001865059,0.013763428,-0.011505127,0.001864912,3.4779E-06
1,2.5188E-05,0.001910403,0.013122559,-0.010040283,0.001910275,3.64915E-06
1,2.49231E-05,0.001875065,0.011260986,-0.011657715,0.001874937,3.51539E-06
1,2.58777E-05,0.0018479,0.014770508,-0.009857178,0.001847756,3.4142E-06
1,2.53564E-05,0.001903321,0.013885498,-0.011688232,0.00190319,3.62213E-06
1,2.56909E-05,0.001951712,0.016143799,-0.0105896,0.001951582,3.80867E-06
1,2.65637E-05,0.00184284,0.014373779,-0.009216309,0.001842685,3.39549E-06
1,2.41687E-05,0.001877698,0.016998291,-0.013244629,0.00187758,3.52531E-06
1,2.59631E-05,0.001905211,0.015777588,-0.009765625,0.001905072,3.6293E-06
1,2.51575E-05,0.001874931,0.012939453,-0.0105896,0.001874799,3.51487E-06
1,2.60706E-05,0.001889207,0.013641357,-0.015167236,0.001889065,3.56856E-06
1,2.52966E-05,0.001910202,0.0128479,-0.011901855,0.001910073,3.64838E-06
1,2.58472E-05,0.001856832,0.013641357,-0.008850098,0.00185669,3.4473E-06
1,2.52393E-05,0.001845848,0.0128479,-0.011627197,0.001845712,3.40665E-06
1,2.53235E-05,0.001938092,0.014892578,-0.010070801,0.001937965,3.75571E-06
1,2.50024E-05,0.001860808,0.014221191,-0.00982666,0.001860677,3.46212E-06
1,2.66187E-05,0.001918689,0.014953613,-0.011383057,0.001918543,3.68081E-06
1,2.60779E-05,0.00187833,0.015441895,-0.009521484,0.001878186,3.52758E-06
1,2.50818E-05,0.001861321,0.011108398,-0.012817383,0.00186119,3.46403E-06
1,2.56372E-05,0.001898645,0.014007568,-0.012115479,0.001898509,3.60434E-06
1,2.51257E-05,0.001882407,0.013549805,-0.009979248,0.001882277,3.54297E-06
1,2.58459E-05,0.001843018,0.014190674,-0.012451172,0.001842874,3.39618E-06
1,2.44788E-05,0.001910993,0.011077881,-0.011779785,0.001910875,3.65144E-06
1,2.62158E-05,0.001871291,0.013458252,-0.009643555,0.001871144,3.50118E-06
1,2.4259E-05,0.001850896,0.011901855,-0.010864258,0.001850774,3.42536E-06
1,1.79028E-05,0.001549655,0.01159668,-0.010467529,0.001549582,2.4012E-06
1,2.4646E-05,0.001880285,0.014007568,-0.0128479,0.001880161,3.53501E-06
1,2.61328E-05,0.001852365,0.016052246,-0.012542725,0.001852218,3.43071E-06
1,2.47021E-05,0.001850001,0.013641357,-0.012176514,0.001849873,3.42203E-06
1,2.44226E-05,0.001899636,0.014099121,-0.011474609,0.001899517,3.60817E-06
1,2.50549E-05,0.001900301,0.01373291,-0.00970459,0.001900173,3.61066E-06
1,2.59509E-05,0.00193314,0.01574707,-0.010772705,0.001933004,3.7365E-06
1,2.53955E-05,0.001865346,0.016967773,-0.013824463,0.00186521,3.47901E-06
1,2.52063E-05,0.001863934,0.015716553,-0.011688232,0.0018638,3.47375E-06
1,2.49255E-05,0.001874912,0.013336182,-0.012329102,0.001874784,3.51482E-06
1,2.61353E-05,0.001922451,0.016845703,-0.009979248,0.001922311,3.69528E-06
1,2.46057E-05,0.001966454,0.01461792,-0.011932373,0.00196634,3.86649E-06
1,2.4751E-05,0.001921029,0.013946533,-0.011413574,0.001920908,3.68989E-06
1,2.62378E-05,0.001852035,0.012145996,-0.010284424,0.001851886,3.42948E-06
1,2.53882E-05,0.001871775,0.01461792,-0.010650635,0.00187164,3.50304E-06
1,2.44141E-05,0.001865711,0.012878418,-0.01083374,0.001865589,3.48042E-06
1,2.52734E-05,0.001863837,0.016998291,-0.011779785,0.001863703,3.47339E-06
1,2.62256E-05,0.001867713,0.012359619,-0.013122559,0.001867567,3.48781E-06
1,2.53162E-05,0.001897064,0.01385498,-0.010101318,0.001896933,3.59835E-06
1,2.44641E-05,0.001857726,0.012634277,-0.012664795,0.001857602,3.45068E-06
1,2.63574E-05,0.001902628,0.013153076,-0.012023926,0.001902484,3.61944E-06
1,2.45996E-05,0.001819815,0.011535645,-0.012786865,0.001819685,3.31125E-06
1,2.53882E-05,0.001887676,0.014312744,-0.009674072,0.001887543,3.56282E-06
1,2.6366E-05,0.001845578,0.01184082,-0.010650635,0.001845426,3.4056E-06
1,2.54016E-05,0.001857553,0.01574707,-0.01184082,0.001857417,3.45E-06
1,2.5592E-05,0.00190623,0.01361084,-0.013916016,0.001906096,3.6332E-06
1,2.53735E-05,0.001945472,0.014160156,-0.011962891,0.001945346,3.78437E-06
1,2.56458E-05,0.001911077,0.013946533,-0.010772705,0.001910943,3.6517E-06
1,2.50623E-05,0.001908266,0.012573242,-0.012023926,0.00190814,3.641E-06
1,2.57251E-05,0.001876995,0.012908936,-0.012573242,0.001876856,3.52259E-06
1,2.56494E-05,0.001871523,0.014190674,-0.012664795,0.001871385,3.50208E-06
1,2.59167E-05,0.0019085,0.016357422,-0.010223389,0.001908362,3.64185E-06
1,2.57471E-05,0.001896448,0.014526367,-0.012786865,0.001896312,3.596E-06
1,2.51721E-05,0.001895929,0.013916016,-0.011108398,0.0018958,3.59406E-06
1,2.50208E-05,0.001893467,0.014190674,-0.010528564,0.00189334,3.58474E-06
1,2.53845E-05,0.001897005,0.017211914,-0.011413574,0.001896873,3.59813E-06
1,2.46338E-05,0.002005206,0.013122559,-0.011108398,0.002005095,4.02041E-06
1,2.72961E-05,0.001948692,0.015930176,-0.012817383,0.00194854,3.79681E-06
1,2.49231E-05,0.001925321,0.014923096,-0.011016846,0.001925199,3.70639E-06
1,2.49084E-05,0.001849867,0.013214111,-0.011444092,0.001849736,3.42152E-06
